timestamp,asset,current_close,predicted_close,actual_close,predicted_direction,actual_direction,probability,tech_signal,correct,running_bankroll
2026-07-08 08:22:00+00:00,BTC,62316.0,62291.12109375,62153.79,DOWN,DOWN,0.5319,DOWN,True,384.39
2026-07-08 08:27:00+00:00,BTC,62153.79,62375.375,62011.45,UP,DOWN,0.745,DOWN,False,290.21
2026-07-08 08:32:00+00:00,BTC,62011.45,61860.65234375,61928.0,DOWN,DOWN,0.6805,DOWN,True,342.59
2026-07-08 08:37:00+00:00,BTC,61928.0,61872.2578125,61945.83,DOWN,UP,0.5712,NEUTRAL,False,318.2
2026-07-08 08:42:00+00:00,BTC,61945.83,61918.1875,62283.23,DOWN,UP,0.5356,NEUTRAL,False,306.87
2026-07-08 08:47:00+00:00,BTC,62283.23,62196.375,62184.01,DOWN,DOWN,0.6088,UP,True,340.26
2026-07-08 08:52:00+00:00,BTC,62184.01,62212.01953125,62052.0,UP,DOWN,0.5359,NEUTRAL,False,328.05
2026-07-08 08:57:00+00:00,BTC,62052.0,62019.4921875,62058.2,DOWN,UP,0.5418,NEUTRAL,False,314.33
2026-07-08 09:02:00+00:00,BTC,62058.2,61978.7734375,61978.32,DOWN,DOWN,0.6002,DOWN,True,345.83
2026-07-08 09:07:00+00:00,BTC,61978.32,62041.83203125,61920.24,UP,DOWN,0.5809,DOWN,False,317.85
2026-07-08 09:12:00+00:00,BTC,61920.24,61879.83203125,61794.0,DOWN,DOWN,0.5519,DOWN,True,334.35
2026-07-08 09:17:00+00:00,BTC,61794.0,61774.87109375,61820.02,DOWN,UP,0.5247,DOWN,False,326.09
2026-07-08 09:22:00+00:00,BTC,61820.02,61955.59765625,61889.03,UP,UP,0.665,DOWN,True,379.9
2026-07-08 09:27:00+00:00,BTC,61889.03,62082.625,62100.0,UP,UP,0.722,NEUTRAL,True,464.23
2026-07-08 09:32:00+00:00,BTC,62100.0,62184.109375,62078.0,UP,DOWN,0.6058,UP,False,415.12
2026-07-08 09:37:00+00:00,BTC,62078.0,61966.734375,62139.79,DOWN,UP,0.6375,UP,False,358.04
2026-07-08 09:42:00+00:00,BTC,62139.79,62057.96484375,62122.2,DOWN,DOWN,0.603,UP,True,394.92
2026-07-08 09:47:00+00:00,BTC,62122.2,62097.57421875,62120.01,DOWN,DOWN,0.5316,UP,True,407.4
2026-07-08 09:52:00+00:00,BTC,62120.01,62084.515625,62075.82,DOWN,DOWN,0.5455,NEUTRAL,True,425.93
2026-07-08 09:57:00+00:00,BTC,62075.82,62147.9140625,62000.51,UP,DOWN,0.5913,NEUTRAL,False,387.04
